"filename", "language", "CSS", "PHP", "JavaScript", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\archive-faq.php", "PHP", 0, 42, 0, 0, 0, 0, 4, 46
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\archive-obra.php", "PHP", 0, 44, 0, 0, 0, 0, 2, 46
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\nav.css", "CSS", 235, 0, 0, 0, 0, 3, 37, 275
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\nav_pre.css", "CSS", 76, 0, 0, 0, 0, 2, 15, 93
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\obras.css", "CSS", 94, 0, 0, 0, 0, 5, 25, 124
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\obras.scss", "SCSS", 0, 0, 0, 0, 44, 0, 8, 52
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\style.css", "CSS", 438, 0, 0, 0, 0, 15, 97, 550
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\utilities.css", "CSS", 327, 0, 0, 0, 0, 9, 55, 391
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\customPage-grid.php", "PHP", 0, 128, 0, 0, 0, 0, 17, 145
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\followalong.md", "Markdown", 0, 0, 0, 10, 0, 0, 6, 16
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\footer.php", "PHP", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\front-page.php", "PHP", 0, 75, 0, 0, 0, 0, 12, 87
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions-dynamic.php", "PHP", 0, 20, 0, 0, 0, 2, 4, 26
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions.php", "PHP", 0, 32, 0, 0, 0, 2, 15, 49
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header.php", "PHP", 0, 53, 0, 0, 0, 0, 3, 56
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header_dynamic.php", "PHP", 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\index.php", "PHP", 0, 45, 0, 0, 0, 0, 2, 47
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\accordion.js", "JavaScript", 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\counter.js", "JavaScript", 0, 0, 35, 0, 0, 2, 12, 49
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\devtools\forceRedirect.js", "JavaScript", 0, 0, 16, 0, 0, 3, 5, 24
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\devtools\sniffer.js", "JavaScript", 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\nav.js", "JavaScript", 0, 0, 21, 0, 0, 1, 5, 27
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\navbarScroll.js", "JavaScript", 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\page.php", "PHP", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single-faq.php", "PHP", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single-obra.php", "PHP", 0, 50, 0, 0, 0, 0, 5, 55
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single.php", "PHP", 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\style.css", "CSS", 1, 0, 0, 0, 0, 130, 2, 133
"Total", "-", 1171, 640, 109, 10, 44, 176, 352, 2502
