"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\mu-plugins\ndd_post_types.php", "PHP", 18, 0, 2, 20
"Total", "-", 18, 0, 2, 20
