"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\forms-editor.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\forms.scss", "SCSS", 0, 0, 0, 0, 265, 0, 0, 12, 53, 330
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\links.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 12, 15, 78
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\media.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 4, 6, 47
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\04-elements\misc.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 1, 3, 18
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\_config.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 3, 3, 8
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\audio\_style.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\blocks-editor.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 5, 2, 37
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\blocks.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 5, 2, 39
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\button\_editor.scss", "SCSS", 0, 0, 0, 0, 91, 0, 0, 22, 29, 142
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\button\_style.scss", "SCSS", 0, 0, 0, 0, 80, 0, 0, 20, 23, 123
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\code\_editor.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\code\_style.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\columns\_editor.scss", "SCSS", 0, 0, 0, 0, 53, 0, 0, 3, 13, 69
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\columns\_style.scss", "SCSS", 0, 0, 0, 0, 81, 0, 0, 2, 23, 106
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\cover\_editor.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 4, 16, 78
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\cover\_style.scss", "SCSS", 0, 0, 0, 0, 89, 0, 0, 4, 24, 117
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\file\_editor.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 2, 5, 26
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\file\_style.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\gallery\_editor.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\gallery\_style.scss", "SCSS", 0, 0, 0, 0, 23, 0, 0, 2, 9, 34
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\group\_editor.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 5, 9, 46
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\group\_style.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 6, 14, 71
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\heading\_editor.scss", "SCSS", 0, 0, 0, 0, 73, 0, 0, 0, 9, 82
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\heading\_style.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 8, 66
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\html\_editor.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\image\_editor.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 2, 6, 21
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\image\_style.scss", "SCSS", 0, 0, 0, 0, 49, 0, 0, 3, 12, 64
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-comments\_editor.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-comments\_style.scss", "SCSS", 0, 0, 0, 0, 27, 0, 0, 1, 8, 36
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-posts\_editor.scss", "SCSS", 0, 0, 0, 0, 110, 0, 0, 9, 26, 145
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\latest-posts\_style.scss", "SCSS", 0, 0, 0, 0, 138, 0, 0, 11, 31, 180
